date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct
1996-01-01,2.4,1.5,6.4,93.0,999.9,3.3,9.0,85.0
1996-01-02,0.1,-1.7,7.0,90.0,1005.2,3.1,344.0,39.0
1996-01-03,0.0,-3.6,7.7,86.0,1013.4,4.7,4.0,36.0
1996-01-04,1.6,-2.2,4.4,90.0,1018.9,3.6,24.0,71.0
1996-01-05,3.3,-2.4,1.4,91.0,1014.5,3.2,36.0,92.0
1996-01-06,16.6,-1.1,2.0,91.0,1010.5,6.9,14.0,100.0
1996-01-07,14.2,2.0,6.9,92.0,1009.5,6.0,11.0,100.0
1996-01-08,2.6,2.6,10.1,93.0,1011.4,3.9,342.0,70.0
1996-01-09,0.0,-2.3,8.7,89.0,1018.2,2.6,332.0,57.0
1996-01-10,4.7,0.8,7.6,93.0,1017.9,4.4,3.0,99.0
1996-01-11,1.7,4.5,11.5,92.0,1016.5,5.0,17.0,94.0
1996-01-12,0.9,3.8,10.5,93.0,1013.7,5.6,16.0,82.0
1996-01-13,0.9,4.4,11.4,92.0,1017.9,4.1,2.0,86.0
1996-01-14,0.0,4.7,9.7,85.0,1022.9,3.8,52.0,73.0
1996-01-15,0.0,0.4,6.1,80.0,1027.8,3.6,48.0,25.0
1996-01-16,0.0,-1.0,6.4,76.0,1030.6,2.4,15.0,6.0
1996-01-17,0.0,-3.5,7.5,75.0,1031.0,2.5,334.0,0.0
1996-01-18,0.0,-3.6,5.9,71.0,1024.8,2.4,359.0,50.0
1996-01-19,0.0,-3.3,4.5,72.0,1018.2,3.2,44.0,9.0
1996-01-20,0.1,-2.9,4.1,83.0,1017.2,4.7,15.0,56.0
1996-01-21,0.0,-2.2,4.1,79.0,1021.6,3.8,30.0,56.0
1996-01-22,0.2,-2.8,3.9,79.0,1022.4,4.6,32.0,56.0
1996-01-23,9.6,0.3,4.2,92.0,1020.4,4.9,18.0,100.0
1996-01-24,22.0,2.7,6.6,92.0,1011.5,7.7,28.0,100.0
1996-01-25,3.3,2.4,5.5,89.0,1009.5,5.2,49.0,100.0
1996-01-26,14.5,3.2,7.2,93.0,1011.1,4.8,19.0,100.0
1996-01-27,6.3,3.6,7.8,93.0,1013.4,2.7,4.0,98.0
1996-01-28,1.3,-0.4,7.0,95.0,1017.7,3.5,34.0,88.0
1996-01-29,0.0,0.4,7.9,87.0,1018.4,4.3,23.0,65.0
1996-01-30,0.0,-0.8,5.7,75.0,1020.4,6.2,58.0,24.0
1996-01-31,0.0,-3.5,4.8,63.0,1024.9,7.0,49.0,20.0
1996-02-01,0.0,-3.0,4.6,62.0,1026.0,3.8,55.0,16.0
1996-02-02,4.3,-2.1,3.7,81.0,1020.4,4.0,11.0,95.0
1996-02-03,0.2,0.4,6.8,92.0,1009.9,3.4,295.0,76.0
1996-02-04,3.0,0.5,5.8,95.0,1007.7,5.1,51.0,79.0
1996-02-05,1.3,0.1,5.2,79.0,1005.7,6.7,79.0,85.0
1996-02-06,0.0,-2.7,1.3,66.0,1002.4,3.9,114.0,71.0
1996-02-07,0.0,-4.1,1.4,61.0,1002.4,3.6,85.0,29.0
