date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct
1996-01-01,3.8,3.2,5.8,89.0,999.9,3.4,284.0,88.0
1996-01-02,0.0,1.3,6.8,91.0,1005.2,2.5,312.0,49.0
1996-01-03,0.0,-2.7,7.6,88.0,1013.7,2.9,345.0,34.0
1996-01-04,2.3,0.9,3.6,85.0,1018.9,2.5,10.0,80.0
1996-01-05,1.9,-0.4,1.1,85.0,1014.5,1.8,97.0,92.0
1996-01-06,13.4,-0.1,3.5,87.0,1011.0,4.8,13.0,100.0
1996-01-07,14.0,3.5,6.8,90.0,1009.8,4.9,12.0,100.0
1996-01-08,1.5,4.5,9.9,92.0,1011.5,3.8,341.0,83.0
1996-01-09,0.3,-0.4,9.3,88.0,1018.3,2.3,287.0,64.0
1996-01-10,3.7,3.8,9.3,91.0,1018.2,3.4,3.0,98.0
1996-01-11,2.5,6.6,12.3,90.0,1016.8,4.1,11.0,92.0
1996-01-12,0.8,5.9,11.5,91.0,1014.1,4.6,18.0,80.0
1996-01-13,4.2,7.1,10.7,93.0,1018.1,3.0,351.0,95.0
1996-01-14,0.3,4.9,9.7,85.0,1022.9,2.3,68.0,61.0
1996-01-15,0.0,1.8,6.6,82.0,1027.5,2.4,262.0,18.0
1996-01-16,0.0,0.8,6.7,76.0,1030.4,2.3,298.0,2.0
1996-01-17,0.0,-2.7,8.1,75.0,1030.9,2.2,313.0,0.0
1996-01-18,0.0,-1.8,6.0,73.0,1024.7,2.1,255.0,61.0
1996-01-19,0.0,-0.5,5.5,77.0,1018.1,2.4,39.0,5.0
1996-01-20,1.1,-1.6,4.3,81.0,1017.4,4.4,30.0,68.0
1996-01-21,0.0,-0.9,4.3,75.0,1021.6,2.9,51.0,52.0
1996-01-22,0.0,-2.0,4.5,74.0,1022.5,3.4,37.0,55.0
1996-01-23,8.2,1.0,4.3,87.0,1020.7,3.6,23.0,100.0
1996-01-24,23.4,3.5,6.7,90.0,1012.1,5.1,30.0,100.0
1996-01-25,5.0,2.8,5.1,88.0,1009.8,3.1,69.0,99.0
1996-01-26,8.5,4.0,8.9,90.0,1011.3,4.4,31.0,96.0
1996-01-27,3.6,2.4,7.8,91.0,1013.5,2.3,335.0,93.0
1996-01-28,0.6,2.4,6.8,94.0,1017.8,3.0,19.0,91.0
1996-01-29,0.0,1.8,8.4,82.0,1018.7,3.7,28.0,59.0
1996-01-30,0.0,-0.3,6.5,72.0,1020.4,4.3,57.0,23.0
1996-01-31,0.0,-3.7,5.2,62.0,1024.8,5.0,45.0,6.0
1996-02-01,0.0,-3.5,4.8,66.0,1025.8,2.5,39.0,10.0
1996-02-02,2.1,-1.6,5.2,77.0,1020.4,2.8,13.0,91.0
1996-02-03,0.3,1.8,6.9,93.0,1009.9,2.5,304.0,84.0
1996-02-04,3.6,2.4,5.3,92.0,1007.9,4.3,62.0,94.0
1996-02-05,1.0,0.2,6.0,74.0,1005.8,5.0,84.0,77.0
1996-02-06,0.7,-2.9,1.8,69.0,1002.4,3.2,140.0,38.0
1996-02-07,0.0,-4.1,2.1,62.0,1002.3,2.8,138.0,12.0
1996-02-08,0.0,-4.1,3.4,63.0,999.4,3.9,257.0,8.0
1996-02-09,0.0,-3.5,6.1,64.0,1014.1,4.5,333.0,9.0
1996-02-10,0.4,-1.1,3.6,83.0,1018.6,2.1,136.0,96.0
1996-02-11,0.0,-1.8,5.2,82.0,1019.9,2.6,56.0,66.0
1996-02-12,0.2,-3.3,6.5,79.0,1016.3,4.0,200.0,49.0
1996-02-13,8.4,0.7,6.9,85.0,1001.5,3.8,48.0,74.0
1996-02-14,0.8,-3.3,8.5,77.0,1010.6,3.6,329.0,59.0
1996-02-15,0.0,-4.5,8.3,67.0,1024.1,3.6,336.0,1.0
1996-02-16,0.0,-2.6,7.2,74.0,1021.4,3.1,240.0,45.0
1996-02-17,0.0,-0.5,8.2,78.0,1012.4,3.7,50.0,20.0
1996-02-18,0.0,-2.6,8.7,70.0,1013.7,4.9,332.0,59.0
1996-02-19,13.8,0.7,5.4,90.0,997.5,4.4,23.0,98.0
1996-02-20,0.1,-4.2,9.2,74.0,1001.3,5.4,25.0,55.0
1996-02-21,0.0,-0.4,6.9,63.0,1005.5,5.2,26.0,100.0
1996-02-22,1.4,0.6,5.3,69.0,1010.5,3.2,21.0,78.0
