date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct
1996-01-01,2.8,4.2,7.1,89.0,1000.0,7.7,51.0,77.0
1996-01-02,0.0,4.1,8.2,87.0,1005.2,4.5,19.0,58.0
1996-01-03,0.0,1.9,8.0,88.0,1013.6,6.3,57.0,36.0
1996-01-04,0.3,3.8,6.1,74.0,1018.7,10.9,78.0,88.0
1996-01-05,2.3,2.3,3.6,73.0,1014.2,13.5,68.0,99.0
1996-01-06,16.9,1.6,5.9,88.0,1010.0,21.8,47.0,100.0
1996-01-07,14.6,6.2,8.2,92.0,1008.9,14.6,47.0,100.0
1996-01-08,6.4,7.3,9.6,91.0,1011.2,13.1,30.0,89.0
1996-01-09,0.1,4.7,9.9,88.0,1018.2,6.0,32.0,79.0
1996-01-10,1.7,7.2,10.4,88.0,1017.7,11.2,43.0,100.0
1996-01-11,0.4,9.0,12.9,91.0,1016.1,9.9,46.0,96.0
1996-01-12,1.4,8.7,12.3,93.0,1013.4,9.2,51.0,85.0
1996-01-13,3.2,8.7,12.4,93.0,1017.6,7.9,52.0,78.0
1996-01-14,0.0,6.2,10.0,79.0,1022.8,12.3,62.0,68.0
1996-01-15,0.0,3.6,7.4,69.0,1027.7,17.8,58.0,11.0
1996-01-16,0.0,1.2,7.0,71.0,1030.7,9.4,43.0,2.0
1996-01-17,0.0,-1.5,8.0,74.0,1031.1,6.9,21.0,0.0
1996-01-18,0.0,-0.1,6.5,77.0,1025.2,4.4,248.0,46.0
1996-01-19,0.0,0.9,6.1,80.0,1018.4,2.7,9.0,9.0
1996-01-20,0.0,-0.4,5.9,79.0,1016.9,13.9,40.0,67.0
1996-01-21,0.0,2.9,5.8,68.0,1021.4,13.5,44.0,83.0
1996-01-22,0.1,2.7,5.7,67.0,1022.2,13.9,47.0,85.0
1996-01-23,6.2,3.8,5.4,84.0,1020.1,17.8,44.0,100.0
1996-01-24,28.2,5.3,8.0,94.0,1010.9,19.0,40.0,100.0
1996-01-25,4.0,3.2,5.7,82.0,1009.4,19.5,49.0,100.0
1996-01-26,8.6,5.0,9.4,88.0,1010.7,16.1,44.0,100.0
1996-01-27,5.4,5.1,8.2,91.0,1013.3,7.2,42.0,99.0
1996-01-28,0.0,4.9,8.4,87.0,1017.6,8.0,49.0,94.0
1996-01-29,0.0,5.0,8.7,76.0,1018.2,14.9,47.0,77.0
1996-01-30,0.0,2.9,7.1,62.0,1020.2,26.7,62.0,26.0
1996-01-31,0.0,1.8,5.5,52.0,1024.5,30.9,62.0,19.0
1996-02-01,0.0,0.1,5.0,62.0,1026.1,14.5,66.0,17.0
1996-02-02,3.6,-0.2,5.0,80.0,1020.3,13.1,42.0,95.0
1996-02-03,2.0,4.2,7.0,90.0,1010.0,9.5,313.0,87.0
1996-02-04,6.0,3.4,6.4,91.0,1007.5,15.0,52.0,86.0
1996-02-05,2.1,2.3,6.4,65.0,1005.3,27.7,68.0,76.0
1996-02-06,0.0,-0.7,2.9,59.0,1002.2,20.2,62.0,41.0
1996-02-07,0.0,-1.9,2.4,59.0,1002.2,14.7,51.0,23.0
1996-02-08,0.0,-1.7,3.9,59.0,999.6,11.5,43.0,6.0
1996-02-09,0.0,-2.0,6.4,67.0,1013.8,9.1,104.0,2.0
1996-02-10,0.0,-0.3,5.8,74.0,1018.5,7.9,80.0,88.0
1996-02-11,0.0,2.0,6.6,77.0,1019.5,11.4,50.0,80.0
1996-02-12,0.0,-0.7,7.3,79.0,1016.2,7.6,260.0,66.0
1996-02-13,10.6,1.3,8.4,84.0,1001.2,7.8,288.0,81.0
1996-02-14,0.0,0.8,10.0,78.0,1010.2,7.9,13.0,40.0
1996-02-15,0.0,0.7,8.5,72.0,1023.6,9.9,74.0,7.0
1996-02-16,0.0,-0.4,7.8,75.0,1021.6,7.9,92.0,17.0
1996-02-17,0.0,1.8,8.0,80.0,1012.6,6.4,90.0,23.0
1996-02-18,0.0,0.1,9.4,82.0,1013.4,8.7,194.0,51.0
1996-02-19,12.8,3.7,7.4,91.0,996.9,4.3,283.0,95.0
1996-02-20,0.2,-1.2,9.5,79.0,1000.7,11.0,55.0,73.0
1996-02-21,0.0,4.6,7.8,59.0,1004.7,22.2,69.0,100.0
1996-02-22,0.2,2.7,6.2,60.0,1010.0,16.5,67.0,82.0
1996-02-23,0.0,-1.3,4.2,60.0,1014.3,12.9,74.0,44.0
1996-02-24,0.0,-1.3,5.4,65.0,1017.0,6.1,90.0,35.0
1996-02-25,0.0,-2.2,6.9,72.0,1021.9,5.4,77.0,26.0
1996-02-26,0.0,2.0,8.4,77.0,1024.0,10.2,53.0,61.0
1996-02-27,0.0,3.1,9.6,82.0,1022.5,9.1,57.0,45.0
1996-02-28,0.0,0.3,10.6,80.0,1021.1,10.0,44.0,17.0
1996-02-29,0.0,1.5,10.4,68.0,1021.4,8.0,54.0,17.0
1996-03-01,0.6,3.8,10.4,77.0,1013.8,8.4,106.0,33.0
1996-03-02,0.3,2.2,7.2,42.0,1014.0,17.9,95.0,28.0
1996-03-03,0.2,-0.1,7.9,52.0,1014.0,9.3,227.0,21.0
1996-03-04,0.9,1.2,5.7,59.0,1016.1,9.7,79.0,35.0
1996-03-05,0.0,-2.2,7.8,62.0,1022.4,8.7,155.0,12.0
1996-03-06,0.0,-2.2,8.0,71.0,1021.9,5.8,113.0,3.0
1996-03-07,0.0,-1.6,9.1,69.0,1019.0,12.6,52.0,27.0
1996-03-08,0.0,3.5,8.0,57.0,1025.3,21.2,57.0,54.0
1996-03-09,0.0,1.7,7.4,57.0,1026.4,19.1,56.0,16.0
1996-03-10,0.0,1.1,7.0,54.0,1024.1,20.3,64.0,14.0
1996-03-11,0.0,-2.1,6.5,65.0,1015.1,9.0,89.0,39.0
1996-03-12,3.3,1.5,4.3,70.0,1007.8,21.5,53.0,86.0
1996-03-13,0.0,1.2,5.2,63.0,1009.8,14.6,48.0,83.0
1996-03-14,0.0,2.5,10.9,70.0,1012.7,8.6,26.0,88.0
1996-03-15,0.0,5.8,13.0,72.0,1010.5,11.8,50.0,95.0
1996-03-16,5.5,6.6,8.7,78.0,1007.3,23.2,54.0,99.0
1996-03-17,1.2,6.4,12.8,73.0,1012.3,13.4,57.0,80.0
1996-03-18,0.0,6.8,11.3,74.0,1014.6,12.8,61.0,92.0
1996-03-19,0.0,6.0,10.4,65.0,1015.3,12.1,52.0,73.0
1996-03-20,0.0,3.5,11.0,71.0,1013.1,7.9,98.0,27.0
1996-03-21,0.0,3.5,12.4,82.0,1015.3,7.6,122.0,52.0
1996-03-22,0.1,7.2,13.0,85.0,1016.3,6.9,93.0,85.0
1996-03-23,2.6,8.3,11.3,92.0,1020.7,8.6,81.0,86.0
1996-03-24,0.0,6.9,12.9,91.0,1022.3,5.5,146.0,79.0
1996-03-25,0.6,8.3,13.2,91.0,1019.8,7.0,118.0,85.0
1996-03-26,0.9,8.1,12.9,91.0,1014.8,5.7,107.0,96.0
1996-03-27,4.4,9.1,14.5,84.0,1005.8,9.6,76.0,99.0
1996-03-28,0.9,5.8,10.3,51.0,1010.0,15.6,91.0,54.0
1996-03-29,2.2,4.7,9.7,63.0,1010.1,8.0,70.0,57.0
1996-03-30,1.3,3.8,10.8,71.0,1008.1,11.6,61.0,39.0
1996-03-31,0.4,2.5,10.8,69.0,1010.8,11.0,115.0,40.0
1996-04-01,4.6,5.5,10.5,72.0,1009.9,12.1,54.0,88.0
1996-04-02,23.4,6.4,10.0,85.0,1002.1,24.0,38.0,100.0
1996-04-03,9.6,4.9,10.1,72.0,1008.4,24.5,48.0,93.0
1996-04-04,4.9,6.0,11.2,75.0,1012.9,11.2,44.0,96.0
1996-04-05,1.7,6.8,14.2,84.0,1014.9,4.4,353.0,81.0
1996-04-06,0.0,6.7,16.2,78.0,1016.6,6.5,103.0,25.0
1996-04-07,0.0,8.2,17.5,76.0,1017.0,4.6,214.0,8.0
1996-04-08,0.2,7.5,17.3,75.0,1019.5,6.8,51.0,54.0
1996-04-09,0.3,8.6,17.2,75.0,1020.2,6.7,18.0,48.0
1996-04-10,0.2,6.0,15.6,84.0,1016.9,6.7,96.0,31.0
1996-04-11,2.4,8.9,14.4,84.0,1012.4,8.0,83.0,78.0
1996-04-12,1.7,7.4,15.4,85.0,1009.5,7.1,158.0,47.0
1996-04-13,5.4,9.0,14.2,88.0,1009.9,13.0,67.0,89.0
1996-04-14,0.0,7.0,12.6,63.0,1014.9,13.8,75.0,63.0
1996-04-15,0.2,5.2,15.3,65.0,1017.7,8.4,155.0,9.0
1996-04-16,0.0,6.1,16.8,61.0,1015.9,9.1,177.0,0.0
1996-04-17,0.0,7.2,16.0,73.0,1012.4,8.8,122.0,29.0
1996-04-18,0.0,5.7,18.3,72.0,1015.7,6.8,152.0,14.0
1996-04-19,0.0,7.2,18.9,75.0,1019.9,6.6,152.0,1.0
1996-04-20,0.0,8.3,19.7,72.0,1019.3,8.3,142.0,0.0
1996-04-21,0.0,9.8,19.5,75.0,1017.6,9.2,148.0,1.0
1996-04-22,0.0,10.3,20.1,70.0,1018.8,8.8,197.0,46.0
1996-04-23,0.4,10.1,18.7,71.0,1018.4,14.5,208.0,92.0
1996-04-24,0.8,12.6,16.7,83.0,1018.5,11.4,173.0,96.0
1996-04-25,9.6,13.0,15.3,91.0,1021.0,6.3,80.0,100.0
1996-04-26,2.7,12.3,17.3,83.0,1018.7,9.7,42.0,98.0
1996-04-27,2.0,12.8,16.2,82.0,1016.8,11.4,63.0,99.0
1996-04-28,0.0,10.2,17.6,79.0,1010.6,5.7,184.0,61.0
1996-04-29,2.9,12.2,16.0,85.0,1006.2,7.4,142.0,93.0
1996-04-30,5.7,12.4,17.4,89.0,1003.4,11.2,96.0,99.0
1996-05-01,1.6,12.1,18.2,79.0,1001.5,10.3,126.0,57.0
1996-05-02,0.2,13.2,18.8,76.0,1003.5,13.3,207.0,47.0
1996-05-03,8.7,11.6,17.5,78.0,1003.1,8.7,212.0,67.0
1996-05-04,0.0,9.9,17.5,76.0,1011.0,8.2,182.0,20.0
1996-05-05,0.2,12.0,18.2,81.0,1015.4,10.8,81.0,58.0
1996-05-06,0.0,9.6,20.3,80.0,1013.0,5.4,171.0,20.0
1996-05-07,0.0,10.7,20.8,79.0,1011.6,6.0,138.0,34.0
1996-05-08,0.9,13.0,20.3,84.0,1010.3,5.7,164.0,79.0
1996-05-09,3.3,14.1,19.1,85.0,1006.0,10.2,189.0,83.0
1996-05-10,10.6,13.4,18.7,87.0,1005.2,7.4,65.0,81.0
1996-05-11,0.1,12.9,21.4,74.0,1004.9,11.7,37.0,78.0
1996-05-12,18.7,14.4,17.0,90.0,1004.0,11.0,17.0,100.0
1996-05-13,5.1,13.4,18.8,84.0,1009.5,7.5,149.0,75.0
1996-05-14,1.3,13.1,20.2,85.0,1008.3,7.9,186.0,93.0
1996-05-15,1.0,14.9,22.2,85.0,1006.3,6.1,223.0,43.0
1996-05-16,0.1,13.2,22.0,83.0,1009.3,8.7,214.0,41.0
1996-05-17,0.0,14.8,21.9,80.0,1011.8,9.6,183.0,37.0
