date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct,leaf_wetness_h,d_pressure_intraday,pressure_drop_today,cloud_evening,cloud_trend,dewpoint_depression_pm,wind_veer,precip_hours_today,rh_evening_excess
2016-01-01,0.0,-0.7,6.4,77.0,1026.6,5.1,41.0,30.0,0.0,-1.2000000000000455,1.412499999999909,3.7142857142857144,-20.285714285714285,5.942857142857143,121.06395634617957,0.0,-1.5833333333333428
2016-01-02,8.9,-0.4,4.3,88.0,1019.8,12.6,33.0,98.0,19.0,-5.899999999999977,6.808333333333394,99.42857142857143,1.1428571428571388,2.4285714285714284,5.883936960703181,11.0,2.916666666666657
2016-01-03,10.7,1.7,5.1,79.0,1009.7,19.2,52.0,82.0,11.0,0.6999999999999318,1.2083333333330302,59.142857142857146,-35.857142857142854,5.5,5.9197401060641255,11.0,-7.416666666666671
2016-01-04,3.8,-0.2,3.8,83.0,1000.8,12.1,44.0,80.0,11.0,-4.2000000000000455,3.2541666666667197,54.42857142857143,-45.28571428571428,3.0571428571428574,-105.63451212997529,7.0,7.625
2016-01-05,2.7,-0.4,5.7,91.0,1000.7,7.9,30.0,70.0,19.0,0.900000000000091,1.2708333333332575,76.14285714285714,-1.4285714285714306,2.257142857142857,-1.5464888076136276,5.0,-1.9583333333333286
2016-01-06,0.4,1.8,7.6,87.0,1000.5,7.5,305.0,67.0,15.0,-1.8999999999999773,1.574999999999818,43.285714285714285,-56.57142857142858,4.328571428571428,-90.33197785322915,1.0,2.625
2016-01-07,0.0,0.4,6.8,93.0,1003.1,4.2,86.0,63.0,18.0,0.8999999999999773,2.1791666666669016,81.28571428571429,-6.714285714285708,2.1285714285714286,-95.05935284265128,0.0,-0.625
2016-01-08,0.0,1.5,8.6,89.0,1008.2,7.7,31.0,83.0,12.0,2.6000000000000227,3.7374999999996135,99.42857142857143,7.714285714285722,3.8000000000000003,-2.4496072705259166,0.0,-3.708333333333343
2016-01-09,13.6,5.2,7.3,92.0,1007.7,5.6,36.0,98.0,22.0,-2.699999999999932,3.137500000000159,100.0,3.285714285714292,1.6,-2.0891407247455334,19.0,3.083333333333343
2016-01-10,5.6,4.9,8.9,94.0,1004.0,7.0,267.0,82.0,20.0,1.6999999999999318,1.4166666666667425,94.57142857142857,30.285714285714278,1.7714285714285711,-142.42580952447273,6.0,-0.4166666666666572
2016-01-11,8.1,6.8,12.4,92.0,997.5,16.6,201.0,73.0,20.0,-9.299999999999955,5.3875000000000455,67.57142857142857,-21.714285714285722,1.842857142857143,51.24644698121841,14.0,-3.541666666666657
2016-01-12,0.0,4.7,10.0,85.0,999.8,12.0,247.0,43.0,6.0,5.699999999999932,5.641666666666765,55.142857142857146,7.5714285714285765,3.7857142857142856,179.2371812736714,0.0,6.791666666666671
2016-01-13,0.0,1.0,10.3,86.0,1010.7,7.2,295.0,49.0,13.0,6.300000000000068,4.8541666666667425,18.571428571428573,-33.14285714285714,4.528571428571429,-12.294663245869799,0.0,-12.875
2016-01-14,0.7,-0.9,7.4,87.0,1014.7,5.0,33.0,77.0,12.0,-3.8999999999999773,4.75,97.14285714285714,12.57142857142857,3.242857142857143,153.63326861280325,2.0,4.791666666666671
