date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct
1996-01-01,1.0,1.0,7.5,93.0,1000.0,4.2,6.0,90.0
1996-01-02,0.0,-1.4,7.9,91.0,1005.4,4.8,311.0,55.0
1996-01-03,0.0,-3.9,7.7,84.0,1013.4,5.1,336.0,40.0
1996-01-04,1.5,0.2,6.0,90.0,1018.8,5.6,15.0,84.0
1996-01-05,2.6,-0.9,2.7,91.0,1014.4,7.3,27.0,99.0
1996-01-06,18.0,0.5,3.8,90.0,1010.1,11.9,28.0,100.0
1996-01-07,14.9,4.0,7.3,90.0,1009.2,8.7,27.0,100.0
1996-01-08,3.4,2.6,10.9,91.0,1011.4,4.4,332.0,68.0
1996-01-09,0.0,-0.9,9.5,90.0,1018.3,3.7,313.0,61.0
1996-01-10,5.3,1.9,8.8,91.0,1017.8,7.2,21.0,99.0
1996-01-11,1.5,7.0,12.2,91.0,1016.2,8.3,32.0,95.0
1996-01-12,1.5,6.9,11.4,90.0,1013.4,7.9,32.0,88.0
1996-01-13,0.6,6.0,12.6,92.0,1017.8,6.4,19.0,86.0
1996-01-14,0.0,4.4,10.8,88.0,1022.8,4.4,35.0,80.0
1996-01-15,0.0,1.7,7.2,79.0,1027.9,6.7,42.0,32.0
1996-01-16,0.0,-1.6,7.3,79.0,1030.8,3.4,354.0,5.0
1996-01-17,0.0,-3.5,8.1,81.0,1031.2,3.8,317.0,0.0
1996-01-18,0.0,-3.6,6.7,76.0,1025.1,4.2,279.0,40.0
1996-01-19,0.0,-2.9,5.5,77.0,1018.4,3.5,346.0,16.0
1996-01-20,0.3,-1.8,4.9,84.0,1017.1,6.0,22.0,77.0
1996-01-21,0.0,-0.6,5.2,81.0,1021.6,4.8,27.0,73.0
1996-01-22,0.5,-0.5,4.8,80.0,1022.4,6.0,31.0,77.0
1996-01-23,10.5,2.2,4.9,89.0,1020.1,9.2,31.0,100.0
1996-01-24,20.8,4.4,7.1,90.0,1011.1,11.0,34.0,100.0
1996-01-25,3.1,3.9,6.4,86.0,1009.4,9.1,50.0,100.0
1996-01-26,11.4,4.5,7.8,92.0,1010.9,7.7,31.0,100.0
1996-01-27,6.9,5.0,8.7,94.0,1013.4,3.4,308.0,98.0
1996-01-28,0.6,0.9,8.4,94.0,1017.6,3.9,29.0,99.0
1996-01-29,0.0,3.0,8.2,83.0,1018.3,7.0,34.0,75.0
1996-01-30,0.0,0.9,6.5,73.0,1020.3,10.9,55.0,23.0
1996-01-31,0.0,-2.5,5.2,63.0,1024.8,12.5,53.0,19.0
1996-02-01,0.0,-2.3,5.3,65.0,1026.2,6.8,45.0,21.0
1996-02-02,6.3,-1.8,4.0,83.0,1020.4,6.7,26.0,98.0
1996-02-03,0.3,1.4,6.8,93.0,1010.1,4.7,273.0,74.0
1996-02-04,3.3,0.2,6.4,94.0,1007.5,7.0,42.0,81.0
1996-02-05,1.8,0.2,5.8,75.0,1005.5,10.9,63.0,80.0
1996-02-06,0.0,-2.6,2.1,66.0,1002.4,5.6,67.0,60.0
1996-02-07,0.0,-3.7,2.2,63.0,1002.4,4.8,59.0,21.0
1996-02-08,0.0,-3.7,4.5,68.0,999.7,5.0,279.0,37.0
1996-02-09,0.0,-3.5,7.6,66.0,1013.6,6.4,335.0,1.0
1996-02-10,0.0,-2.8,6.5,76.0,1018.5,4.0,29.0,88.0
1996-02-11,0.0,-1.8,6.8,82.0,1019.6,5.3,34.0,70.0
1996-02-12,0.3,-1.9,7.0,82.0,1016.3,5.4,243.0,73.0
1996-02-13,9.2,-0.5,8.3,82.0,1001.2,6.7,314.0,72.0
1996-02-14,0.0,-3.4,10.0,74.0,1010.3,4.6,347.0,48.0
1996-02-15,0.0,-3.2,8.8,69.0,1023.7,6.0,16.0,9.0
1996-02-16,0.0,-2.5,8.7,76.0,1021.6,4.7,277.0,23.0
1996-02-17,0.0,-1.5,9.8,77.0,1012.3,4.5,353.0,16.0
1996-02-18,0.0,-2.5,10.3,67.0,1013.2,5.4,269.0,50.0
1996-02-19,12.8,0.8,7.1,90.0,997.0,5.2,14.0,96.0
1996-02-20,0.6,-3.8,9.0,78.0,1000.7,8.6,41.0,60.0
1996-02-21,0.3,2.0,7.1,64.0,1004.8,13.2,59.0,99.0
1996-02-22,0.0,-0.1,6.1,72.0,1010.1,6.6,58.0,79.0
1996-02-23,1.2,-1.4,4.0,70.0,1014.4,4.9,82.0,60.0
1996-02-24,0.0,-2.6,5.8,68.0,1017.1,5.6,275.0,40.0
1996-02-25,0.0,-3.1,7.6,71.0,1021.9,4.2,21.0,44.0
1996-02-26,0.0,-0.4,9.4,78.0,1024.0,5.1,47.0,62.0
1996-02-27,0.0,-1.4,10.2,81.0,1022.5,5.5,45.0,60.0
1996-02-28,0.0,-1.4,10.8,80.0,1021.2,6.0,34.0,13.0
1996-02-29,0.0,-3.1,12.1,74.0,1021.4,4.5,319.0,17.0
