date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct,leaf_wetness_h,d_pressure_intraday,pressure_drop_today,cloud_evening,cloud_trend,dewpoint_depression_pm,wind_veer,precip_hours_today,rh_evening_excess
2016-01-01,0.0,-0.1,6.6,81.0,1026.6,2.9,314.0,41.0,2.0,-1.300000000000182,1.2124999999998636,18.0,-1.571428571428573,4.485714285714287,-143.76284932865974,0.0,2.7083333333333286
2016-01-02,8.3,-0.5,2.8,90.0,1020.0,6.0,16.0,95.0,22.0,-6.100000000000023,6.7666666666666515,99.0,3.714285714285708,1.6857142857142857,9.36743776153159,13.0,2.166666666666657
2016-01-03,6.0,0.9,5.6,86.0,1010.0,4.3,24.0,90.0,13.0,0.2999999999999545,1.5625,79.71428571428571,-17.714285714285722,3.614285714285714,91.76164084703692,9.0,0.8333333333333428
2016-01-04,4.1,-0.8,4.2,89.0,1000.9,6.6,6.0,77.0,15.0,-4.0,3.3083333333331666,47.142857142857146,-51.714285714285715,2.6428571428571423,-147.39785431010552,8.0,5.541666666666671
2016-01-05,1.6,-1.8,5.0,91.0,1000.8,4.3,2.0,72.0,18.0,1.2000000000000455,1.7541666666667197,72.28571428571429,-9.0,2.0571428571428574,-6.966471914527972,5.0,1.0833333333333286
2016-01-06,1.0,-1.4,7.8,91.0,1000.6,4.9,289.0,67.0,18.0,-2.0,1.520833333333485,31.142857142857142,-67.14285714285715,3.128571428571429,-61.756370765720874,3.0,2.875
2016-01-07,0.4,-3.0,6.9,84.0,1003.0,3.9,329.0,57.0,8.0,1.0,2.1791666666666742,80.0,8.857142857142861,4.5,94.5423921349335,1.0,3.2083333333333286
2016-01-08,0.0,-1.9,8.0,85.0,1008.4,4.3,359.0,75.0,9.0,3.2999999999999545,3.754166666666606,98.71428571428571,20.285714285714278,4.3,7.465787568605094,0.0,4.0
2016-01-09,7.9,3.3,7.2,92.0,1007.8,3.1,3.0,99.0,21.0,-2.699999999999932,2.816666666666606,100.0,1.1428571428571388,1.6857142857142862,56.92616328437089,10.0,2.75
2016-01-10,1.9,1.8,8.9,94.0,1004.0,4.2,322.0,83.0,19.0,1.3999999999999773,1.4166666666667425,91.71428571428571,20.714285714285708,1.7285714285714289,139.21384782356284,3.0,0.1666666666666572
2016-01-11,10.3,5.4,10.5,94.0,997.6,6.3,289.0,78.0,23.0,-8.5,5.141666666666765,73.28571428571429,-20.0,0.9571428571428566,-143.12551992820772,10.0,-2.625
2016-01-12,0.0,2.8,10.9,81.0,999.8,8.3,261.0,40.0,6.0,5.399999999999977,5.212499999999977,42.0,-5.857142857142854,5.528571428571428,-27.92970512865972,0.0,-4.25
2016-01-13,0.0,-1.5,11.2,80.0,1010.8,8.1,284.0,44.0,12.0,6.300000000000068,4.933333333333167,28.714285714285715,-8.57142857142857,7.6,-25.130456498971796,0.0,-7.166666666666671
2016-01-14,1.1,-1.4,6.7,83.0,1014.8,5.5,20.0,70.0,9.0,-3.8999999999999773,4.649999999999864,94.71428571428571,23.57142857142857,2.485714285714286,38.31758981404724,3.0,9.416666666666671
2016-01-15,0.0,-3.5,7.8,85.0,1008.7,5.8,327.0,18.0,12.0,1.2000000000000455,1.3625000000000682,20.285714285714285,16.857142857142858,4.485714285714286,170.84697182866546,0.0,-2.2916666666666714
2016-01-16,0.0,-3.6,8.6,64.0,1013.1,5.3,343.0,19.0,0.0,2.2000000000000455,2.579166666666765,2.2857142857142856,-12.714285714285715,11.142857142857144,-23.966788250616162,0.0,-4.916666666666664
2016-01-17,0.0,-3.9,7.5,50.0,1015.6,6.8,313.0,24.0,0.0,-0.5,1.6249999999998863,37.285714285714285,32.14285714285714,15.014285714285714,6.45512286439515,0.0,-4.666666666666664
2016-01-18,0.0,-3.9,5.5,43.0,1019.6,5.7,326.0,26.0,0.0,-1.2999999999999545,1.1083333333334622,61.285714285714285,60.857142857142854,14.085714285714285,-167.4455084149146,0.0,7.041666666666671
2016-01-19,0.0,-1.9,4.3,60.0,1017.7,3.4,26.0,26.0,0.0,0.10000000000002274,1.0708333333334394,0.0,-41.714285714285715,8.9,99.26245731513688,0.0,13.083333333333336
2016-01-20,0.0,-1.7,4.4,70.0,1018.3,3.4,308.0,7.0,0.0,-0.2999999999999545,1.0000000000001137,1.2857142857142858,-9.571428571428571,7.614285714285714,-95.39432119590222,0.0,4.291666666666671
2016-01-21,0.0,-3.1,6.1,70.0,1022.5,4.6,23.0,0.0,0.0,5.400000000000091,3.4208333333333485,0.0,-0.5714285714285714,8.685714285714287,39.874882206465486,0.0,7.208333333333343
2016-01-22,0.0,-1.4,5.5,74.0,1031.4,5.6,37.0,44.0,0.0,1.7999999999999545,2.595833333333303,46.0,-2.0,5.671428571428571,55.56412123964685,0.0,6.25
2016-01-23,0.0,-0.4,7.6,83.0,1032.7,3.7,299.0,46.0,7.0,-0.7000000000000455,1.395833333333485,1.5714285714285714,-69.28571428571429,4.6000000000000005,-92.8106889802103,0.0,2.416666666666657
2016-01-24,0.0,-2.4,7.7,80.0,1034.4,3.4,332.0,50.0,5.0,-1.7000000000000455,1.2916666666667425,45.857142857142854,-38.57142857142858,5.685714285714286,142.92309681729552,0.0,-0.75
2016-01-25,0.0,-1.0,8.7,80.0,1031.6,2.7,271.0,9.0,0.0,-2.099999999999909,1.5499999999999545,1.0,-22.142857142857142,4.928571428571429,-118.6282780538356,0.0,4.333333333333329
2016-01-26,0.0,0.3,9.3,86.0,1029.4,3.0,282.0,62.0,9.0,-0.7000000000000455,1.1499999999998636,80.42857142857143,-6.428571428571431,3.6428571428571423,161.3566028243863,0.0,2.3333333333333286
2016-01-27,0.0,-0.1,9.9,92.0,1028.9,3.4,349.0,27.0,18.0,-1.0,1.224999999999909,57.0,53.285714285714285,2.628571428571429,-168.6806646409878,0.0,4.916666666666657
2016-01-28,0.0,1.9,12.4,93.0,1028.2,3.9,313.0,67.0,18.0,-0.8999999999998636,1.6500000000003183,42.285714285714285,-33.42857142857142,2.942857142857143,-142.6114286869515,0.0,3.3333333333333286
2016-01-29,0.0,2.2,11.9,92.0,1030.0,3.6,41.0,49.0,17.0,2.0,1.7041666666668789,18.142857142857142,-55.71428571428572,3.2428571428571433,114.73994525903771,0.0,3.7083333333333286
2016-01-30,0.0,4.6,9.7,95.0,1027.3,3.7,266.0,94.0,21.0,-6.600000000000023,7.983333333333576,95.42857142857143,3.857142857142861,1.5285714285714285,-104.54631346042987,0.0,1.7083333333333286
2016-01-31,0.0,4.1,12.9,89.0,1015.6,4.9,254.0,69.0,15.0,-0.8999999999999773,1.9291666666665606,25.428571428571427,-56.85714285714286,4.128571428571428,-39.21493957491725,0.0,-0.5416666666666572
2016-02-01,0.0,0.9,10.6,93.0,1021.3,3.6,46.0,87.0,17.0,7.2999999999999545,4.608333333333235,84.71428571428571,-14.42857142857143,2.385714285714286,100.66293857497169,0.0,2.916666666666657
2016-02-02,0.0,3.5,10.1,94.0,1025.4,3.4,251.0,96.0,17.0,-2.599999999999909,2.9208333333333485,98.57142857142857,-0.7142857142857224,2.1999999999999997,-158.74294074971806,0.0,1.5
2016-02-03,5.0,3.7,9.1,95.0,1016.5,3.7,357.0,99.0,23.0,-7.600000000000023,5.399999999999864,99.85714285714286,3.4285714285714306,1.485714285714286,33.2167799626946,5.0,-1.2083333333333428
2016-02-04,0.3,-0.4,11.5,72.0,1021.5,6.6,268.0,21.0,9.0,-0.6000000000000227,6.149999999999977,10.571428571428571,9.714285714285714,10.828571428571431,-52.023868671948605,1.0,-10.166666666666664
2016-02-05,0.0,-1.5,10.7,76.0,1025.1,6.0,37.0,1.0,3.0,5.500000000000114,3.954166666666765,0.42857142857142855,0.42857142857142855,6.371428571428571,62.03566776182686,0.0,9.583333333333329
2016-02-06,0.0,-0.5,10.7,83.0,1028.4,6.0,327.0,48.0,11.0,-3.400000000000091,3.2958333333333485,94.42857142857143,81.14285714285714,5.457142857142857,-117.62956625231487,0.0,0.2083333333333428
2016-02-07,23.2,2.0,7.9,95.0,1018.2,6.9,37.0,94.0,24.0,-6.699999999999932,4.112500000000068,100.0,2.714285714285708,0.7857142857142858,13.421030553444183,18.0,-0.3333333333333428
2016-02-08,13.4,6.6,10.1,93.0,1014.6,6.6,297.0,96.0,17.0,0.599999999999909,0.9791666666665151,96.57142857142857,-2.4285714285714306,2.0714285714285716,-94.84447559948381,12.0,1.7083333333333286
2016-02-09,10.3,2.2,10.1,92.0,1010.6,4.0,6.0,83.0,18.0,-8.200000000000045,12.795833333333007,100.0,11.857142857142861,2.6142857142857143,99.05922551874505,8.0,2.9583333333333286
2016-02-10,6.8,1.1,11.8,70.0,995.0,9.9,269.0,76.0,9.0,8.600000000000023,5.720833333333417,51.0,-37.85714285714286,12.485714285714286,-7.685538251386959,5.0,-14.041666666666664
2016-02-11,0.0,-3.1,10.6,68.0,1006.5,5.5,2.0,25.0,0.0,2.199999999999932,4.300000000000296,25.285714285714285,20.428571428571427,9.471428571428572,154.28883144497473,0.0,5.333333333333329
2016-02-12,6.9,0.4,9.0,82.0,1005.0,8.3,45.0,90.0,8.0,-5.0,6.070833333333439,99.14285714285714,19.285714285714278,6.314285714285715,72.68063590094658,5.0,7.916666666666671
2016-02-13,1.3,0.9,9.3,84.0,996.5,6.6,304.0,72.0,11.0,1.5,1.7125000000002046,63.142857142857146,8.714285714285715,5.542857142857144,-158.33568956116866,3.0,-3.7083333333333286
2016-02-14,9.5,1.4,7.9,90.0,994.8,6.6,10.0,93.0,16.0,-3.1000000000000227,3.1499999999999773,99.85714285714286,3.857142857142861,1.7,-73.82020301432885,12.0,1.875
2016-02-15,5.8,0.6,12.4,86.0,1003.3,8.1,41.0,91.0,15.0,8.300000000000068,6.037500000000023,99.71428571428571,20.0,5.428571428571429,98.06165080215783,6.0,-0.9166666666666714
2016-02-16,8.4,6.8,12.2,73.0,1020.9,15.4,46.0,97.0,13.0,4.2999999999999545,5.962500000000091,99.14285714285714,5.285714285714278,7.9142857142857155,14.85434455527161,15.0,-7.458333333333343
2016-02-17,17.9,5.2,8.3,86.0,1019.3,9.0,40.0,99.0,18.0,0.0,0.9249999999999545,98.0,-1.0,2.9714285714285715,-50.25895236016015,16.0,3.583333333333343
2016-02-18,0.0,-0.7,13.1,82.0,1014.6,6.4,288.0,41.0,12.0,-5.7000000000000455,3.8166666666668334,37.142857142857146,22.571428571428577,7.371428571428573,-44.918538377292805,0.0,-3.625
2016-02-19,3.5,0.5,11.9,82.0,1014.9,6.0,294.0,63.0,17.0,4.0,3.1625000000000227,52.857142857142854,-3.857142857142861,6.528571428571428,83.70939879040867,8.0,4.416666666666671
